Time_UTC,Time_From_Pass_Start_s,Azimuth_deg,Elevation_deg,Range_km,Radial_Velocity_mps,Azimuth_Rate_deg_per_s,Elevation_Rate_deg_per_s,Above_Minimum_Elevation,Source
13-Jul-2026 13:11:35,180,43.8329624286505,43.8387719471262,705.15413109135,296.764738338417,0.819996427664277,-0.0283768136494757,1,satelliteScenario
13-Jul-2026 13:11:40,185,47.9146244292276,43.6190404819607,707.504691381493,641.745186251332,0.808727678372147,-0.0589040160001637,1,satelliteScenario
13-Jul-2026 13:11:45,190,51.920239212372,43.2497317871246,711.571582953863,982.088462856575,0.790012136106121,-0.0878194303174681,1,satelliteScenario
13-Jul-2026 13:11:50,195,55.8147457902888,42.740846178786,717.325576010059,1315.48443696914,0.764877016492296,-0.114425619271669,1,satelliteScenario
13-Jul-2026 13:11:55,200,59.5690093772949,42.1054755944079,724.726427323554,1639.86246637139,0.734591678096646,-0.138198335063107,1,satelliteScenario
13-Jul-2026 13:12:00,205,63.1606625712553,41.3588628281549,733.724200673773,1953.43734385956,0.700522831867431,-0.158804403370834,1,satelliteScenario
13-Jul-2026 13:12:05,210,66.5742376959692,40.5174315606995,744.26080076215,2254.75188618465,0.664006481178828,-0.176097676574621,1,satelliteScenario
13-Jul-2026 13:12:10,215,69.8007273830436,39.5978860624087,756.27171953562,2542.69075809501,0.626251211860164,-0.190096339542252,1,satelliteScenario
13-Jul-2026 13:12:15,220,72.8367498145709,38.616468165277,769.6877083431,2816.46538855655,0.588279313459732,-0.200948785993875,1,satelliteScenario
13-Jul-2026 13:12:20,225,75.6835205176409,37.58839820247,784.436373421185,3075.60339587327,0.550904092612565,-0.208897334275508,1,satelliteScenario
13-Jul-2026 13:12:25,230,78.3457907406965,36.5274948225219,800.443742301833,3319.91742821246,0.514733386944961,-0.214242876326067,1,satelliteScenario
13-Jul-2026 13:12:30,235,80.8308543870905,35.4459694392093,817.63554770331,3549.45598673665,0.48019004508941,-0.217313858252367,1,satelliteScenario
13-Jul-2026 13:12:35,240,83.1476911915906,34.3543562399983,835.938302169199,3764.47296000944,0.447541532740868,-0.218443272993404,1,satelliteScenario
13-Jul-2026 13:12:40,245,85.3062697144991,33.2615367092752,855.280277303404,3965.38666734452,0.416931421894906,-0.217951571131073,1,satelliteScenario
13-Jul-2026 13:12:45,250,87.3170054105397,32.1748405286875,875.592168842644,4152.7294735826,0.38840906800776,-0.216134878072516,1,satelliteScenario
13-Jul-2026 13:12:50,255,89.1903603945768,31.1001879285501,896.80757203923,4327.12450850721,0.361955534111146,-0.213259401192706,1,satelliteScenario
13-Jul-2026 13:12:55,260,90.9365607516511,30.0422465167605,918.863413927717,4489.25567445691,0.337504738748838,-0.209558808322554,1,satelliteScenario
13-Jul-2026 13:13:00,265,92.5654077820651,29.0045998453245,941.700128783799,4639.8303213613,0.314960135266039,-0.205233616666398,1,satelliteScenario
13-Jul-2026 13:13:05,270,94.0861621043116,27.9899103500965,965.26171714133,4779.57098628057,0.294207205752257,-0.200453453006977,1,satelliteScenario
13-Jul-2026 13:13:10,275,95.5074798395877,27.0000653152548,989.495838646605,4909.19815978353,0.275122621889157,-0.195359625943151,1,satelliteScenario
13-Jul-2026 13:13:15,280,96.8373883232031,26.036314090665,1014.35369873916,5029.41279705984,0.257580762175333,-0.190067995441963,1,satelliteScenario
13-Jul-2026 13:13:20,285,98.0832874613411,25.0993853608351,1039.7899666172,5140.88742483574,0.241458158824677,-0.184672275737026,1,satelliteScenario
13-Jul-2026 13:13:25,290,99.2519699114499,24.1895913332947,1065.76257298752,5244.26584923115,0.226636250034036,-0.179247392491132,1,satelliteScenario
13-Jul-2026 13:13:30,295,100.349649961681,23.3069114359238,1092.23262510951,5340.16083450376,0.213003074015984,-0.173852455395951,1,satelliteScenario
